paper id,last_name,first_name,full_name,gender,confidence,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.0002,Theran,Louis,Louis Theran,male,1.0,male,male,male,male,0.97,0.985889519459518
704.0004,Callan,David,David Callan,male,1.0,male,male,male,male,0.99,0.9967401344347256
704.0005,Abu-Shammala,Wael,Wael Abu-Shammala,male,1.0,male,male,male,male,0.98,0.9930820938478816
704.0005,Torchinsky,Alberto,Alberto Torchinsky,male,1.0,male,male,male,male,0.99,0.9960446336711558
704.0003,Pan,Hongjun,Hongjun Pan,neutral,0.24352055688744975,unknown,unknown,male,female,0.96,0.988164455099598
704.0007,Corichi,Alejandro,Alejandro Corichi,male,1.0,male,male,male,male,0.99,0.9957871800414088
704.0007,Vukasinac,Tatjana,Tatjana Vukasinac,female,1.0,female,female,female,female,0.98,0.9885616108974288
704.0007,Zapata,Jose A.,Jose A. Zapata,male,1.0,male,male,male,male,0.98,0.9884184136671093
704.001,Ovchinnikov,Sergei,Sergei Ovchinnikov,male,1.0,male,male,male,male,0.99,0.99690241611543
704.0009,Harvey,Paul,Paul Harvey,male,1.0,male,male,male,male,0.99,0.9925623562556511
704.0009,Merin,Bruno,Bruno Merin,male,1.0,male,male,male,male,0.99,0.9945265027502086
704.0009,Huard,Tracy L.,Tracy L. Huard,female,0.6634230363943772,unknown,female,female,female,0.92,0.9836921455775086
704.0009,Chapman,Nicholas,Nicholas Chapman,male,1.0,male,male,male,male,0.99,0.99359581445816
704.0009,Evans,Neal J.,Neal J. Evans,male,1.0,male,male,male,male,0.99,0.8055434833101283
704.0009,Myers,Philip C.,Philip C. Myers,male,1.0,male,male,male,male,0.99,0.9286362124874812
704.0014,Fujii,Koichi,Koichi Fujii,male,1.0,male,male,male,male,1.0,0.9954554455515864
704.0015,Stahn,Christian,Christian Stahn,male,0.6804163849881976,unknown,male,male,male,0.99,0.9816655399527904
704.0016,Chang,Chao-Hsi,Chao-Hsi Chang,female,0.1261130385188277,unknown,unknown,unknown,female,0.0,0.5044521540753109
704.0016,Li,Tong,Tong Li,male,0.5798289425862477,male,unknown,male,male,0.76,0.6893157703449909
704.0016,Li,Xue-Qian,Xue-Qian Li,female,0.23079329234844714,unknown,unknown,unknown,female,0.0,0.9231731693937886
704.0016,Wang,Yu-Ming,Yu-Ming Wang,male,0.1875,unknown,unknown,male,male,0.75,0.6954410736716753
704.0017,Buckley,David H.,David H. Buckley,male,1.0,male,male,male,male,0.99,0.9968561702303376
704.0017,Potter,Steven B.,Steven B. Potter,male,0.6525000000000001,male,male,male,female,0.99,0.9651588168073876
704.0017,Warner,Brian,Brian Warner,male,1.0,male,male,male,male,0.99,0.9870859132289068
704.0018,Gustavsson,Andreas,Andreas Gustavsson,male,1.0,male,male,male,male,0.99,0.993633480610524
704.0019,Konno,Norio,Norio Konno,male,1.0,male,male,male,male,1.0,0.973923185391644
704.0021,Casagrande,Vanessa,Vanessa Casagrande,female,1.0,female,female,female,female,0.98,0.991627210642951
704.0021,Togashi,Yuichi,Yuichi Togashi,male,0.6818732846868796,unknown,male,male,male,0.99,0.9874931387475184
704.0021,Mikhailov,Alexander S.,Alexander S. Mikhailov,male,1.0,male,male,male,male,0.99,0.9969019950325492
704.0022,Wiese,Anke,Anke Wiese,female,0.43,unknown,female,female,male,0.97,0.9825554727861462
704.0027,Fal'ko,Vladimir I.,Vladimir I. Fal'ko,male,1.0,male,male,male,male,0.99,0.9954179923901274
704.0029,Shu,Zhan,Zhan Shu,male,0.5729390294145926,unknown,male,male,male,0.91,0.6317561176583705
704.0034,Ogryzko,Vasily,Vasily Ogryzko,male,1.0,male,male,male,male,1.0,0.7675494307713999
704.0033,Yurkin,Maxim A.,Maxim A. Yurkin,male,1.0,male,male,male,male,0.97,0.9967293144354816
704.0033,Maltsev,Valeri P.,Valeri P. Maltsev,male,0.5668439719029333,female,male,male,male,0.55,0.9673758876117332
704.0036,Wang,Liming,Liming Wang,male,0.1625,unknown,unknown,male,male,0.65,0.5168948932965627
704.0036,Sontag,Eduardo D.,Eduardo D. Sontag,male,1.0,male,male,male,male,0.99,0.9968323149697376
704.0039,Roca,Luis,Luis Roca,male,1.0,male,male,male,male,0.99,0.9934225768480692
704.004,Popa,Mihai,Mihai Popa,male,1.0,male,male,male,male,0.96,0.9837991220209916
704.0041,Goswami,Debashish,Debashish Goswami,neutral,0.24286111945569508,unknown,unknown,male,female,1.0,0.9428889556455606
704.0042,Licata,Ignazio,Ignazio Licata,male,1.0,male,male,male,male,0.99,0.9938902652550304
704.0049,Øbro,Mikkel,Mikkel Øbro,male,0.6837043105663058,unknown,male,male,male,0.99,0.9948172422652232
704.0048,Stroeer,Alexander,Alexander Stroeer,male,1.0,male,male,male,male,0.99,0.9954596130956488
704.0048,Veitch,John,John Veitch,male,1.0,male,male,male,male,0.99,0.996878341159414
704.0048,Bloomer,Ed,Ed Bloomer,male,1.0,male,male,male,male,0.95,0.9596155088543492
704.0048,Clark,James,James Clark,male,1.0,male,male,male,male,0.99,0.99556552874361
704.0048,Christensen,Nelson,Nelson Christensen,male,1.0,male,male,male,male,0.98,0.9864370540016804
704.0048,Hendry,Martin,Martin Hendry,male,1.0,male,male,male,male,0.98,0.978880124380488
704.0048,Messenger,Chris,Chris Messenger,male,0.6265293297336559,unknown,male,male,male,0.9,0.856117318934624
704.0048,Meyer,Renate,Renate Meyer,female,1.0,female,female,female,female,0.98,0.9094603914382144
704.0048,Pitkin,Matthew,Matthew Pitkin,male,1.0,male,male,male,male,1.0,0.995807612356156
704.0048,Toher,Jennifer,Jennifer Toher,female,1.0,female,female,female,female,0.98,0.9537651380243848
704.0048,Umstaetter,Richard,Richard Umstaetter,male,1.0,male,male,male,male,0.99,0.9967724845847488
704.0048,Woan,Graham,Graham Woan,male,1.0,male,male,male,male,0.99,0.9670508521275408
704.0051,Cohen,Scott M.,Scott M. Cohen,male,1.0,male,male,male,male,0.99,0.9943132671392312
704.0052,Jaffe,Arthur,Arthur Jaffe,male,1.0,male,male,male,male,0.99,0.9945533940393684
704.0052,Ritter,Gordon,Gordon Ritter,male,1.0,male,male,male,male,0.99,0.9941209870625368
704.0057,Werner,Philipp,Philipp Werner,male,1.0,male,male,male,male,1.0,0.996850110298443
704.0057,Millis,Andrew J.,Andrew J. Millis,male,1.0,male,male,male,male,0.99,0.995819256206557
704.0055,Ziambaras,Eleni,Eleni Ziambaras,female,0.65,female,female,female,male,0.98,0.6403471083417153
704.0055,Kleis,Jesper,Jesper Kleis,male,1.0,male,male,male,male,0.99,0.9958279234403324
704.0055,Hyldgaard,Per,Per Hyldgaard,male,1.0,male,male,male,male,0.97,0.962326302997003
704.0056,Prestipino,Santi,Santi Prestipino,male,0.42000000000000004,unknown,male,male,female,0.93,0.9322966766556996
704.0056,Saija,Franz,Franz Saija,male,1.0,male,male,male,male,0.97,0.9881586069471904
704.0058,Tipler,Frank J.,Frank J. Tipler,male,1.0,male,male,male,male,0.99,0.991397926486724
704.0061,Rubin,Boris,Boris Rubin,male,1.0,male,male,male,male,0.99,0.9844494410717116
704.0062,Vinař,Tomáš,Tomáš Vinař,male,0.1875,unknown,male,unknown,male,0.0,0.996755275110486
704.0063,Choudhury,Somnath,Somnath Choudhury,male,0.6349863617251331,unknown,male,male,male,0.99,0.7999454469005324
704.0066,Iliev,Bozhidar Z.,Bozhidar Z. Iliev,male,0.6817255857209061,unknown,male,male,male,0.98,0.9969023428836246
704.0069,Robertson,John W.,John W. Robertson,male,1.0,male,male,male,male,0.99,0.9968983334422804
704.007,Yanzhang,He,He Yanzhang,male,0.17,unknown,unknown,male,male,0.68,0.5458397477227995
