paper id,last_name,first_name,full_name,api_gender
2111.04052,Guillaume,Jacquet,Jacquet Guillaume,unknown
2111.0405,Chen,Si Yu,Si Yu Chen,unknown
2111.04064,Chakrabarti,Bhismadev,Bhismadev Chakrabarti,unknown
2111.04092,Wu,Xilan,Xilan Wu,unknown
2111.04105,Ghoushchi,Saeid Jafarzadeh,Saeid Jafarzadeh Ghoushchi,unknown
2111.04102,Nath,Anu V. S.,Anu V. S. Nath,unknown
2111.04115,Karakouzian,Mher Marc,Mher Marc Karakouzian,male
2111.04119,Notario,Juan Antonio Delgado,Juan Antonio Delgado Notario,male
2111.04119,Sanchez,Juan Salvador,Juan Salvador Sanchez,male
2111.04119,Meziani,Yahya Moubarak,Yahya Moubarak Meziani,male
2111.0411,Abazi,Alajdin,Alajdin Abazi,unknown
2111.04132,Angkhanawin,Toonyawat,Toonyawat Angkhanawin,unknown
2111.04158,Ganesh,Maya Indira,Maya Indira Ganesh,female
2111.04164,Poulton,Jenny M,Jenny M Poulton,female
2111.04169,Whelan,Sarah O.,Sarah O. Whelan,female
2111.04177,Sim,Chee Khian,Chee Khian Sim,unknown
2111.04206,Lourenço,Wesley de Jesus,Wesley de Jesus Lourenço,unknown
2111.04206,Reis,Ruy Freitas,Ruy Freitas Reis,male
2111.04206,Rocha,Bernardo Martins,Bernardo Martins Rocha,male
2111.04252,Yujra,Victor H. Patty,Victor H. Patty Yujra,male
2111.04254,Sabili,Ammar Fathin,Ammar Fathin Sabili,male
2111.0425,Collaborations,CREX,CREX Collaborations,unknown
2111.04256,Shoemaker,Emileigh S.,Emileigh S. Shoemaker,female
2111.04275,Wang,Meng-hui,Meng-hui Wang,unknown
2111.04255,Pham,Van Long Phuoc,Van Long Phuoc Pham,unknown
2111.04281,Wang,YiNan,YiNan Wang,unknown
2111.04281,Dai,FuZhi,FuZhi Dai,unknown
2111.04284,Trappen,Robbyn,Robbyn Trappen,female
2111.04298,Lamas,Alejandro Flores,Alejandro Flores Lamas,male
