last name,first name,other,full_name,api_gender,api_gender_final
Beyer,Horst R.,,Horst R. Beyer,male,male
Klebaner,Fima,,Fima Klebaner,female,female
Oyarzún,Grecco A.,,Grecco A. Oyarzún,unknown,unknown
Do,Phan-Thuan,,Phan-Thuan Do,unknown,unknown
Chalamalasetti,Sai Rahul,,Sai Rahul Chalamalasetti,andy,andy
Solé,Josep Lluís,,Josep Lluís Solé,male,male
Kong,Ki-Jeong,,Ki-Jeong Kong,unknown,unknown
Liu,Ze Long,,Ze Long Liu,andy,andy
Bui,Phuong Thuy,,Phuong Thuy Bui,mostly_female,female
Nikolaidis,Marios-Andreas,,Marios-Andreas Nikolaidis,unknown,unknown
Boonstra,Albert-Jan,,Albert-Jan Boonstra,unknown,unknown
Li,Zimi,,Zimi Li,unknown,unknown
Nishimura,Dwight G,,Dwight G Nishimura,male,male
Aoyama,Yuhiko,,Yuhiko Aoyama,unknown,unknown
Paillard,Gabriel A. L.,,Gabriel A. L. Paillard,male,male
Kent,Candace M.,,Candace M. Kent,female,female
Pal,Umapada,,Umapada Pal,unknown,unknown
Lopes,Ana Paula Brandão,,Ana Paula Brandão Lopes,female,female
Gunter,Elsa L.,,Elsa L. Gunter,female,female
Ghosh,Bahniman,,Bahniman Ghosh,unknown,unknown
Luo,Yunqiu Kelly,,Yunqiu Kelly Luo,unknown,unknown
Reddy,Bacham Eswar,,Bacham Eswar Reddy,unknown,unknown
Heidarsson,Hordur K.,,Hordur K. Heidarsson,unknown,unknown
Babayev,Mirbaba M.,,Mirbaba M. Babayev,unknown,unknown
Purbarani,Sumarsih Condroayu,,Sumarsih Condroayu Purbarani,unknown,unknown
Wozniak,Przemyslaw,,Przemyslaw Wozniak,unknown,unknown
Pang,Cheng-qun,,Cheng-qun Pang,unknown,unknown
Vongsvivut,Jitraporn,,Jitraporn Vongsvivut,unknown,unknown
Ren,Binyin,,Binyin Ren,unknown,unknown
Yamane,Hideshi,,Hideshi Yamane,male,male
Henriquez,Enrique Blanco,,Enrique Blanco Henriquez,male,male
Aisati,Chaimae El,,Chaimae El Aisati,unknown,unknown
Brizard,Alain J.,,Alain J. Brizard,male,male
