paper id,last_name,first_name,full_name,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.0002,Theran,Louis,Louis Theran,male,male,male,male,0.97,0.985889519459518
704.0004,Callan,David,David Callan,male,male,male,male,0.99,0.9967401344347256
704.0005,Abu-Shammala,Wael,Wael Abu-Shammala,male,male,male,male,0.98,0.9930820938478816
704.0005,Torchinsky,Alberto,Alberto Torchinsky,male,male,male,male,0.99,0.9960446336711558
704.0003,Pan,Hongjun,Hongjun Pan,unknown,unknown,male,female,0.96,0.988164455099598
704.0007,Corichi,Alejandro,Alejandro Corichi,male,male,male,male,0.99,0.9957871800414088
704.0007,Vukasinac,Tatjana,Tatjana Vukasinac,female,female,female,female,0.98,0.9885616108974288
704.0007,Zapata,Jose A.,Jose A. Zapata,male,male,male,male,0.98,0.9884184136671093
704.001,Ovchinnikov,Sergei,Sergei Ovchinnikov,male,male,male,male,0.99,0.99690241611543
704.0009,Harvey,Paul,Paul Harvey,male,male,male,male,0.99,0.9925623562556511
704.0009,Merin,Bruno,Bruno Merin,male,male,male,male,0.99,0.9945265027502086
704.0009,Huard,Tracy L.,Tracy L. Huard,unknown,female,female,female,0.92,0.9836921455775086
704.0009,Chapman,Nicholas,Nicholas Chapman,male,male,male,male,0.99,0.99359581445816
704.0009,Evans,Neal J.,Neal J. Evans,male,male,male,male,0.99,0.8055434833101283
704.0009,Myers,Philip C.,Philip C. Myers,male,male,male,male,0.99,0.9286362124874812
704.0014,Fujii,Koichi,Koichi Fujii,male,male,male,male,1.0,0.9954554455515864
704.0015,Stahn,Christian,Christian Stahn,unknown,male,male,male,0.99,0.9816655399527904
704.0016,Chang,Chao-Hsi,Chao-Hsi Chang,unknown,unknown,unknown,female,0.0,0.5044521540753109
704.0016,Li,Tong,Tong Li,male,unknown,male,male,0.76,0.6893157703449909
704.0016,Li,Xue-Qian,Xue-Qian Li,unknown,unknown,unknown,female,0.0,0.9231731693937886
704.0016,Wang,Yu-Ming,Yu-Ming Wang,unknown,unknown,male,male,0.75,0.6954410736716753
704.0017,Buckley,David H.,David H. Buckley,male,male,male,male,0.99,0.9968561702303376
704.0017,Potter,Steven B.,Steven B. Potter,male,male,male,female,0.99,0.9651588168073876
704.0017,Warner,Brian,Brian Warner,male,male,male,male,0.99,0.9870859132289068
704.0018,Gustavsson,Andreas,Andreas Gustavsson,male,male,male,male,0.99,0.993633480610524
704.0019,Konno,Norio,Norio Konno,male,male,male,male,1.0,0.973923185391644
704.0021,Casagrande,Vanessa,Vanessa Casagrande,female,female,female,female,0.98,0.991627210642951
