paper id,last_name,first_name,full_name,api_gender,api_script,api_scale,api_score,api_probabilityCalibrated
704.0002,Theran,Louis,Louis Theran,male,LATIN,-0.9717790389190356,16.522285470783427,0.985889519459518
704.0004,Callan,David,David Callan,male,LATIN,-0.9934802688694512,27.646944538111264,0.9967401344347256
704.0005,Abu-Shammala,Wael,Wael Abu-Shammala,male,LATIN,-0.986164187695763,20.30326132175656,0.9930820938478816
704.0005,Torchinsky,Alberto,Alberto Torchinsky,male,LATIN,-0.9920892673423116,25.98202730975585,0.9960446336711558
704.0003,Pan,Hongjun,Hongjun Pan,female,LATIN,0.976328910199196,17.733070563586182,0.988164455099598
704.0007,Corichi,Alejandro,Alejandro Corichi,male,LATIN,-0.9915743600828176,24.47459711831519,0.9957871800414088
704.0007,Vukasinac,Tatjana,Tatjana Vukasinac,female,LATIN,0.9771232217948578,18.23646756848981,0.9885616108974288
704.0007,Zapata,Jose A.,Jose A. Zapata,male,LATIN,-0.9768368273342184,18.034287065377185,0.9884184136671093
704.001,Ovchinnikov,Sergei,Sergei Ovchinnikov,male,LATIN,-0.99380483223086,41.14538771801796,0.99690241611543
704.0009,Harvey,Paul,Paul Harvey,male,LATIN,-0.9851247125113024,19.941146605477137,0.9925623562556511
704.0009,Merin,Bruno,Bruno Merin,male,LATIN,-0.9890530055004172,21.5155323284564,0.9945265027502086
704.0009,Huard,Tracy L.,Tracy L. Huard,female,LATIN,0.9673842911550172,15.999900231185537,0.9836921455775086
704.0009,Chapman,Nicholas,Nicholas Chapman,male,LATIN,-0.98719162891632,20.867684523413683,0.99359581445816
704.0009,Evans,Neal J.,Neal J. Evans,male,LATIN,-0.6110869666202565,7.769165064641645,0.8055434833101283
704.0009,Myers,Philip C.,Philip C. Myers,male,LATIN,-0.8572724249749621,11.029268479869954,0.9286362124874812
704.0014,Fujii,Koichi,Koichi Fujii,male,LATIN,-0.9909108911031728,22.66256896567482,0.9954554455515864
704.0015,Stahn,Christian,Christian Stahn,male,LATIN,-0.963331079905581,15.6812471889505,0.9816655399527904
704.0016,Chang,Chao-Hsi,Chao-Hsi Chang,female,LATIN,0.0089043081506217,0.4676011136746483,0.5044521540753109
704.0016,Li,Tong,Tong Li,male,LATIN,-0.3786315406899818,5.693857466535185,0.6893157703449909
