paper id,last_name,first_name,full_name
704.0004,Callan,David,David Callan
704.0076,Gronau,Michael,Michael Gronau
704.0456,Arteaga,Daniel,Daniel Arteaga
704.0199,Müller,Thomas,Thomas Müller
704.0163,Brommer,Peter,Peter Brommer
704.0048,Stroeer,Alexander,Alexander Stroeer
704.0048,Hendry,Martin,Martin Hendry
704.0015,Stahn,Christian,Christian Stahn
704.0179,Bellini,Marco,Marco Bellini
704.0018,Gustavsson,Andreas,Andreas Gustavsson
704.0233,Tomadin,Andrea,Andrea Tomadin
704.0154,Leupold,Stefan,Stefan Leupold
704.0255,Nichol,Robert,Robert Nichol
704.0048,Veitch,John,John Veitch
704.0452,Cui,Wei,Wei Cui
704.0009,Harvey,Paul,Paul Harvey
704.021,Dancer,Andrew,Andrew Dancer
704.0268,Whitney,Mark,Mark Whitney
704.0885,Pachl,Jan,Jan Pachl
704.032,Mainardi,Francesco,Francesco Mainardi
704.0149,Gourgoulhon,Eric,Eric Gourgoulhon
704.0206,Lepri,Stefano,Stefano Lepri
704.0258,Wschebor,Nicolas,Nicolas Wschebor
704.0179,Zavatta,Alessandro,Alessandro Zavatta
704.0771,Zhang,Jun,Jun Zhang
704.0048,Clark,James,James Clark
704.0813,Schlein,Benjamin,Benjamin Schlein
704.0249,Balzer,Matthias,Matthias Balzer
704.0175,Amendola,Luca,Luca Amendola
704.0048,Pitkin,Matthew,Matthew Pitkin
704.0048,Umstaetter,Richard,Richard Umstaetter
704.0655,Jester,Sebastian,Sebastian Jester
704.1282,Sondow,Jonathan,Jonathan Sondow
704.0701,Georges,Patrick,Patrick Georges
704.0101,Di Vecchia,Paolo,Paolo Di Vecchia
704.0078,Mars,Marc,Marc Mars
704.0516,Sun,Yang,Yang Sun
704.0366,Segui,Antonio,Antonio Segui
704.1625,Jalsenius,Markus,Markus Jalsenius
704.0825,Lan,Yu,Yu Lan
704.017,Macovez,Roberto,Roberto Macovez
704.0337,Mahalov,Alex,Alex Mahalov
704.2053,Cox,Pierre,Pierre Cox
704.0662,Calegari,Frank,Frank Calegari
704.0743,Rycerz,Adam,Adam Rycerz
704.0202,Perdrix,Simon,Simon Perdrix
704.0126,Shan,Lei,Lei Shan
704.0232,Bergbauer,Christoph,Christoph Bergbauer
704.0195,Drinfeld,Vladimir,Vladimir Drinfeld
704.1156,Packham,Christopher,Christopher Packham
704.0005,Torchinsky,Alberto,Alberto Torchinsky
704.0126,Cui,Yi,Yi Cui
704.0672,Ren,Jie,Jie Ren
704.0349,Izmestiev,Ivan,Ivan Izmestiev
704.0048,Messenger,Chris,Chris Messenger
704.0394,Jaśkiewicz,Anna,Anna Jaśkiewicz
704.0901,Dahlberg,Kevin,Kevin Dahlberg
704.0176,Ren,Hao,Hao Ren
704.0262,Bertolini,Matteo,Matteo Bertolini
704.0395,Liu,Xin,Xin Liu
704.0496,Chomaz,Philippe,Philippe Chomaz
704.2284,Kaya,Ali,Ali Kaya
704.0473,Leitmann,George,George Leitmann
704.0113,Zhang,Li,Li Zhang
704.0398,Dennert,Florian,Florian Dennert
704.0104,Gaiffi,Giovanni,Giovanni Gaiffi
704.0264,Dai,Jian,Jian Dai
704.0517,Allais,Olivier,Olivier Allais
704.0549,Mussardo,Giuseppe,Giuseppe Mussardo
704.015,Gu,Bo,Bo Gu
704.0104,Grassi,Michele,Michele Grassi
704.119,Zhu,Tao,Tao Zhu
704.0304,Gershenson,Carlos,Carlos Gershenson
704.123,Sjoestrand,Johannes,Johannes Sjoestrand
