last name,first name,other
Streinu,Ileana,
Theran,Louis,
Callan,David,
Abu-Shammala,Wael,
Torchinsky,Alberto,
Pan,Hongjun,
Corichi,Alejandro,
Vukasinac,Tatjana,
Zapata,Jose A.,
Swift,Damian C.,
Cunningham,Clifton,
Dembele,Lassina,
Ovchinnikov,Sergei,
Harvey,Paul,
Merin,Bruno,
Huard,Tracy L.,
Rebull,Luisa M.,
Chapman,Nicholas,
Evans,Neal J.,II
Myers,Philip C.,
Fujii,Koichi,
Choi,Dohoon,
Choie,YoungJu,
Stahn,Christian,
Chang,Chao-Hsi,
Li,Tong,
Li,Xue-Qian,
Wang,Yu-Ming,
Mhlahlo,Nceba,
Buckley,David H.,
Dhillon,Vikram S.,
Potter,Steven B.,
Warner,Brian,
Woudt,Patric A.,
Gustavsson,Andreas,
Konno,Norio,
Casagrande,Vanessa,
Togashi,Yuichi,
Mikhailov,Alexander S.,
Malham,Simon J. A.,
Wiese,Anke,
de Marrais,Robert P. C.,
Frenkel,Péter E.,
Fal'ko,Vladimir I.,
Shu,Zhan,
Chen,Xiao-Lin,
Deng,Wei-Zhen,
Ogryzko,Vasily,
Yurkin,Maxim A.,
Maltsev,Valeri P.,
Hoekstra,Alfons G.,
Wang,Liming,
Sontag,Eduardo D.,
Roca,Luis,
Popa,Mihai,
Goswami,Debashish,
Licata,Ignazio,
Øbro,Mikkel,
Stroeer,Alexander,
Veitch,John,
Bloomer,Ed,
Clark,James,
Christensen,Nelson,
Hendry,Martin,
Messenger,Chris,
Meyer,Renate,
Pitkin,Matthew,
Toher,Jennifer,
Umstaetter,Richard,
Woan,Graham,
Cohen,Scott M.,
Jaffe,Arthur,
Ritter,Gordon,
Youssef,Nabil L.,
Werner,Philipp,
Millis,Andrew J.,
Ziambaras,Eleni,
Kleis,Jesper,
Schroder,Elsebeth,
Hyldgaard,Per,
Prestipino,Santi,
Saija,Franz,
Tipler,Frank J.,
Rubin,Boris,
Šrámek,Rastislav,
Brejová,Broňa,
Vinař,Tomáš,
Choudhury,Somnath,
Iliev,Bozhidar Z.,
Friedman,Lawrence H.,
Malesevic,Branko J.,
Robertson,John W.,
Yanzhang,He,
Chengguang,Bao,
Kosovtsov,Yu. N.,
Fujino,Osamu,
Gronau,Michael,
Chen,Chong,
Liu,Xiang,
Zhu,Shi-Lin,
Abbas,Afsar,
Mars,Marc,
Mena,Filipe C.,
Vera,Raul,
Power,Stephen C.,
Solel,Baruch,
Kurosaki,Tetsuo,
Wadati,Miki,
McLaughlin,Dean E.,
Fouxon,Itzhak,
Livne,Eli,
Duc,Duong Minh,
Tuyen,Truong Trung,
Vysotsky,Vladislav V.,
Mukhopadhyay,Partha,
Ingber,Lester,
Minasyan,Ashot,
Gattringer,Christof,
Liptak,Ludovit,
Zhao,HongSheng,
Breuillard,Emmanuel,
Kawahigashi,Yasuyuki,
Raymond,Jack,
Audenaert,Koenraad M. R.,
Aujla,Jaspal Singh,
Di Vecchia,Paolo,
Ida,Daisuke,
Siino,Masaru,
Gaiffi,Giovanni,
Grassi,Michele,
Cutkosky,Steven Dale,
Herzog,Juergen,
Srinivasan,Hema,
Gemelli,Gianluca,
Polterovich,Leonid,
Wang,Xin-Nian,
Zhang,Ben-Wei,
Gubin,Sergey,
Durgun,Engin,
Cakir,Deniz,
Akman,Nurten,
Ciraci,Salim,
Li,Xiaolin,
